month,play_count,video_count
2017-01,0,0
2017-02,0,0
2017-03,0,0
2017-04,0,0
2017-05,0,0
2017-06,0,0
2017-07,0,0
2017-08,0,0
2017-09,0,0
2017-10,0,0
2017-11,0,0
2017-12,0,0
2018-01,0,0
2018-02,0,0
2018-03,0,0
2018-04,0,0
2018-05,0,0
2018-06,0,0
2018-07,0,0
2018-08,0,0
2018-09,0,0
2018-10,0,0
2018-11,0,0
2018-12,0,0
2019-01,0,0
2019-02,0,0
2019-03,0,0
2019-04,0,0
2019-05,379,1
2019-06,901,1
2019-07,0,0
2019-08,0,0
2019-09,0,0
2019-10,0,0
2019-11,0,0
2019-12,0,0
2020-01,0,0
2020-02,0,0
2020-03,30400,1
2020-04,75100,1
2020-05,0,0
2020-06,4445,1
2020-07,170640,2
2020-08,0,0
2020-09,49100,1
2020-10,87928,2
2020-11,231200,2
2020-12,675967,4
2021-01,64252,15
2021-02,303287,2
2021-03,79900,1
2021-04,222885,4
2021-05,152363,5
2021-06,3012,2
2021-07,20250,4
2021-08,150140,6
2021-09,1371608,8
2021-10,222597,5
2021-11,4723920,16
2021-12,196880,4
,8837154,88
